single_frequency_greyscale,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0
cocentric_sine_waves,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
plasma_noise,3.25,4.0,4.75,5.5,6.25,7.0,7.75,8.5,9.25,10.0
voronoi_noise,3.25,4.0,4.75,5.5,6.25,7.0,7.75,8.5,9.25,10.0
caustic_noise,3.25,4.0,4.75,5.5,6.25,7.0,7.75,8.5,9.25,10.0
sparkles,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
inverse_sparkles,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
checkerboard_cutout,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
lines,0.8,1.6,2.4,3.2,4.0,4.8,5.6,6.4,7.2,8.0
scatter,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0
chromatic_abberation,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
transverse_chromatic_abberation,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
caustic_refraction,2.35,3.2,4.05,4.9,5.75,6.6,7.45,8.3,9.15,10.0
pinch_and_twirl_v2,4.15,4.8,5.45,6.1,6.75,7.4,8.05,8.7,9.35,10.0
fish_eye_v2,0.4,0.8,1.2,1.6,2.0,2.4,2.8,3.2,3.6,4.0
water_drop,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
ripple,3.25,4.0,4.75,5.5,6.25,7.0,7.75,8.5,9.25,10.0
bleach_bypass,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
technicolor,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
pseudocolor,1.9,2.8,3.7,4.6,5.5,6.4,7.3,8.2,9.1,10.0
color_balance,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
quadrilateral_no_bars,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
perspective_no_bars,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
perlin_noise,4.6,5.2,5.8,6.4,7.0,7.6,8.2,8.8,9.4,10.0
blue_noise_sample,0.8,1.6,2.4,3.2,4.0,4.8,5.6,6.4,7.2,8.0
blue_noise,0.7,1.4,2.1,2.8,3.5,4.2,4.9,5.6,6.3,7.0
hue_shift,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
circular_motion_blur,2.35,3.2,4.05,4.9,5.75,6.6,7.45,8.3,9.15,10.0
color_dither,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
brownish_noise,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
